VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
1GC2KVC8XDZ327749,2013,Chevrolet,Silverado 2500HD,Extended Cab,Work Truck,CK20953,2,Summit White,Dark Titanium,8,6.6L,Automatic,0,46987,46987,43176,0,41375,,77079,White,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
1GC1KVC81DF215032,2013,Chevrolet,Silverado 2500HD,Crew Cab,Work Truck,CK20743,4,Summit White,Dark Titanium,8,6.6L,Automatic,0,48156,48156,44277,0,41380,,77079,White,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
SCA664L55DUX65945,2013,Rolls-Royce,Ghost,4dr Car,EWB,,4,,,12,6.6L,Automatic,20,356380,356380,0,323005,41310,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S5XDUX51797,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,5,327695,327695,0,298059,41186,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S57DUX51854,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,7,326890,326890,0,297329,41249,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S51DUX52028,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,10,325560,325560,0,295106,41375,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S59DUX51869,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,5,321795,321795,0,292717,41246,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S59DUX51760,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,18,320150,320150,0,291227,41277,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S57CUX50797,2012,Rolls-Royce,Ghost,4dr Car,,,4,Diamond Black Metallic,,12,6.6L,Automatic,0,315855,315855,0,287302,41016,,91105,Black,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,1C1D21,402
SCA664S53DUX51804,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,6,313795,313795,0,315476,41186,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
